NAME,SET NAME,ROLE,COUNTRY,PRICE,IMAGE
Mohit Rathee,Uncapped All-Rounder,Batsman,India,50 L,
Money Grewal,Uncapped Bowler,Batsman,India,50 L,
Muhammed Adnan Khan,Uncapped Batsman,Batsman,India,50 L,
Mukesh Choudhary,Uncapped Bowler,Batsman,India,50 L,
Musaif Ajaz,Uncapped All-Rounder,Batsman,India,50 L,
Musheer Khan,Uncapped All-Rounder,All-rounder,India,50 L,
Naman Dhir,Uncapped All-Rounder,All-rounder,India,50 L,
Naman Tiwari,Uncapped Bowler,Batsman,India,50 L,
Narayan Jagadeesan,Uncapped Wicket-Keeper,Wicket-Keeper,India,50 L,
Nehal Wadhera,Uncapped Batsman,Batsman,India,50 L,
Ninad Rathva,Uncapped All-Rounder,Batsman,India,50 L,
Nishant Sindhu,Uncapped All-Rounder,Batsman,India,50 L,
Nqabayomzi Peter,Uncapped Bowler,Batsman,India,50 L,
Oliver Davies,Uncapped Batsman,Batsman,India,50 L,
Ottneil Baartman,Uncapped Bowler,Batsman,South Africa,50 L,
Pradosh Ranjan Paul,Uncapped Batsman,Batsman,India,50 L,
Prashant Painkra,Uncapped Bowler,Batsman,India,50 L,
Prashant Solanki,Uncapped Bowler,Batsman,India,50 L,
Prateek Yadav,Uncapped Wicket-Keeper,Wicket-Keeper,India,50 L,
Praveen Dubey,Uncapped All-Rounder,All-rounder,India,50 L,
Prerak Mankad,Uncapped All-Rounder,All-rounder,India,50 L,
Prince Choudhary,Uncapped Bowler,Batsman,India,50 L,
Prince Yadav,Uncapped Bowler,Batsman,India,50 L,
Prithvi Raj,Uncapped Bowler,Batsman,India,50 L,
Priyam Garg,Uncapped Batsman,Batsman,India,50 L,
Priyansh Arya,Uncapped Batsman,Batsman,India,50 L,
Pukhraj Mann,Uncapped Batsman,Batsman,India,50 L,
Pulkit Narang,Uncapped All-Rounder,Batsman,India,50 L,
Pyla Avinash,Uncapped Wicket-Keeper,Batsman,India,50 L,
Qais Ahmad,Uncapped Bowler,All-rounder,Afghanistan,50 L,
R Smaran,Uncapped Batsman,Batsman,India,50 L,
Raghav Goyal,Uncapped Bowler,Batsman,India,50 L,
Raj Bawa,Uncapped All-Rounder,All-rounder,India,50 L,
Raj Limbani,Uncapped Bowler,Batsman,India,50 L,
Rajan Kumar,Uncapped Bowler,Batsman,India,50 L,
Rajvardhan Hangargekar,Uncapped All-Rounder,All-rounder,India,50 L,
Ramakrishna Ghosh,Uncapped Bowler,Batsman,India,50 L,
Ramandeep Singh,Uncapped All-Rounder,Batsman,India,50 L,
Ramesh Prasad,Uncapped Bowler,Batsman,India,50 L,
Rasikh Salam,Uncapped Bowler,Bowler,India,50 L,
Ravi Kumar,Uncapped Bowler,Batsman,India,50 L,
Rithik Easwaran,Uncapped Wicket-Keeper,Wicket-Keeper,India,50 L,
Robin Minz,Uncapped Wicket-Keeper,Wicket-Keeper,India,50 L,
Rohan Kunnummal,Uncapped Batsman,Batsman,India,50 L,
Roshan Waghsare,Uncapped Bowler,Batsman,India,50 L,
Sachin Baby,Uncapped Batsman,Batsman,India,50 L,
Sachin Dhas,Uncapped Batsman,Batsman,India,50 L,
Sakib Hussain,Uncapped Bowler,Batsman,India,50 L,
Salil Arora,Uncapped Wicket-Keeper,Wicket-Keeper,India,50 L,
Salman Nizar,Uncapped Batsman,Batsman,India,50 L,
Samarth Vyas,Uncapped Batsman,Batsman,India,50 L,
Sameer Rizvi,Uncapped Batsman,Batsman,India,50 L,
Sanskar Rawat,Uncapped All-Rounder,Batsman,India,50 L,
Sanvir Singh,Uncapped All-Rounder,All-rounder,India,50 L,
Saranu Nishanth,Uncapped Bowler,Batsman,India,50 L,
Sarthak Ranjan,Uncapped Batsman,Batsman,India,50 L,
Satyanarayana Raju,Uncapped Bowler,Batsman,India,50 L,
Saumy Pandey,Uncapped Bowler,Batsman,India,50 L,
Saurabh Dubey,Uncapped Bowler,Batsman,India,50 L,
Saurav Chauhan,Uncapped Wicket-Keeper,Wicket-Keeper,India,50 L,
Sayed Irfan Aftab,Uncapped All-Rounder,Batsman,India,50 L,
Shaik Rasheed,Uncapped Batsman,Batsman,India,50 L,
Shams Mulani,Uncapped All-Rounder,Batsman,India,50 L,
Shashank Singh,Uncapped Batsman,Batsman,India,50 L,
Shashwat Rawat,Uncapped Batsman,Batsman,India,50 L,
Shiva Singh,Uncapped All-Rounder,Batsman,India,50 L,
Shivalik Sharma,Uncapped All-Rounder,All-rounder,India,50 L,
Shivam Shukla,Uncapped Bowler,Batsman,India,50 L,
Shivam Singh,Uncapped All-Rounder,Batsman,India,50 L,
Shoun Roger,Uncapped Batsman,Batsman,India,50 L,
Shreyas Chavan,Uncapped Bowler,Batsman,India,50 L,
Shubham Agarwal,Uncapped All-Rounder,Batsman,India,50 L,
Shubham Dubey,Uncapped Batsman,Batsman,India,50 L,
Shubham Khajuria,Uncapped Batsman,Batsman,India,50 L,
Siddarth Yadav,Uncapped Batsman,Batsman,India,50 L,
Simarjeet Singh,Uncapped Bowler,Bowler,India,50 L,
Sohraab Dhaliwal,Uncapped All-Rounder,Batsman,India,50 L,
Sonu Yadav,Uncapped All-Rounder,All-rounder,India,50 L,
Srikar Bharat,Uncapped Wicket-Keeper,Batsman,India,50 L,
Sudip Kumar Gharami,Uncapped Batsman,Batsman,India,50 L,
Sumeet Verma,Uncapped Batsman,Batsman,India,50 L,
Sumit Ghadigaonkar,Uncapped Wicket-Keeper,Wicket-Keeper,India,50 L,
Sumit Kumar,Uncapped Wicket-Keeper,Batsman,India,50 L,
Suryansh Shedge,Uncapped All-Rounder,All-rounder,India,50 L,
Sushant Mishra,Uncapped Bowler,Batsman,India,50 L,
Suyash Prabhudessai,Uncapped Batsman,Batsman,India,50 L,
Suyash Sharma,Uncapped Bowler,Batsman,India,50 L,
Swapnil Singh,Uncapped All-Rounder,All-rounder,India,50 L,
Swastik Chikara,Uncapped Batsman,Batsman,India,50 L,
Tanay Thyagarajan,Uncapped Bowler,Batsman,India,50 L,
Tanmay Agarwal,Uncapped Batsman,Batsman,India,50 L,
Tanush Kotian,Uncapped All-Rounder,Batsman,India,50 L,
Tanzim Hasan Sakib,Uncapped Bowler,Batsman,Bangladesh,50 L,
Tejasvi Dahiya,Uncapped Wicket-Keeper,Wicket-Keeper,India,50 L,
Tejasvi Singh,Uncapped Bowler,Batsman,India,50 L,
Tejpreet Singh,Uncapped Bowler,Batsman,India,50 L,
Tushar Raheja,Uncapped Wicket-Keeper,Wicket-Keeper,India,50 L,
Upendra Yadav,Uncapped Wicket-Keeper,Wicket-Keeper,India,50 L,
Urvil Patel,Uncapped Wicket-Keeper,Wicket-Keeper,India,50 L,
Utkarsh Singh,Uncapped All-Rounder,Batsman,India,50 L,
Vaibhav Arora,Uncapped Bowler,Bowler,India,50 L,
Vansh Bedi,Uncapped Wicket-Keeper,Wicket-Keeper,India,50 L,
Vicky Ostwal,Uncapped All-Rounder,All-rounder,India,50 L,
Vidwath Kaverappa,Uncapped Bowler,Batsman,India,50 L,
Vidyadhar Patil,Uncapped Bowler,Batsman,India,50 L,
Vijaykumar Vyshak,Uncapped Bowler,Bowler,India,50 L,
Vineet Panwar,Uncapped Bowler,Batsman,India,50 L,
Vipraj Nigam,Uncapped All-Rounder,All-rounder,India,50 L,
Virat Singh,Uncapped Batsman,Batsman,India,50 L,
Vishnu Solanki,Uncapped Wicket-Keeper,Wicket-Keeper,India,50 L,
Vishnu Vinod,Uncapped Wicket-Keeper,Wicket-Keeper,India,50 L,
Vivrant Sharma,Uncapped All-Rounder,Batsman,India,50 L,
Wiaan Mulder,Uncapped All-Rounder,All-rounder,South Africa,50 L,
Will Sutherland,Uncapped All-Rounder,All-rounder,Australia,50 L,
William O'Rourke,Uncapped Bowler,Batsman,New Zealand,50 L,
Xavier Bartlett,Uncapped Bowler,Batsman,Australia,50 L,
Yash Dhull,Uncapped Batsman,Batsman,India,50 L,
Yash Thakur,Uncapped Bowler,Bowler,India,50 L,
Yeddala Reddy,Uncapped Bowler,Batsman,India,50 L,
Yudhvir Singh,Uncapped All-Rounder,Batsman,India,50 L,
Yuvraj Chaudhary,Uncapped All-Rounder,Batsman,India,50 L,
Yuvraj Chudasama,Uncapped Bowler,Batsman,India,50 L,
Zakary Foulkes,Uncapped All-Rounder,All-rounder,New Zealand,50 L,
Zeeshan Ansari,Uncapped Bowler,Batsman,India,50 L,
