NAME,SET NAME,ROLE,COUNTRY,PRICE,IMAGE
Musheer Khan,Uncapped All-Rounder,All-rounder,India,50 L, musheer_khan.avif
Naman Dhir,Uncapped All-Rounder,All-rounder,India,50 L, naman_dhir.avif
Nehal Wadhera,Uncapped Batsman,Batsman,India,50 L,nehal_wadhera.avif
Nishant Sindhu,Uncapped All-Rounder,Batsman,India,50 L, Nishant_Sindhu.avif
Prince Yadav,Uncapped Bowler,Batsman,India,50 L, prince_yadav.avif
Priyansh Arya,Uncapped Batsman,Batsman,India,50 L, priyansh_arya.avif
Ramandeep Singh,Uncapped All-Rounder,Batsman,India,50 L, ramandeep_singh.avif
Rasikh Salam,Uncapped Bowler,Bowler,India,50 L, rashik_dar.avif
Robin Minz,Uncapped Wicket-Keeper,Wicket-Keeper,India,50 L,robin_minz.avif
Sameer Rizvi,Uncapped Batsman,Batsman,India,50 L,rizvi.avif
Shashank Singh,Uncapped Batsman,Batsman,India,50 L,shashank_singh.avif
Shubham Dubey,Uncapped Batsman,Batsman,India,50 L, shubham_dubey.avif
Suyash Sharma,Uncapped Bowler,Batsman,India,50 L, suyash_sharma.avif
Swapnil Singh,Uncapped All-Rounder,All-rounder,India,50 L, swapnil_singh.avif
Urvil Patel,Uncapped Wicket-Keeper,Wicket-Keeper,India,50 L,urvil_patel.avif
Vaibhav Suryavanshi,Uncapped Batsman,Batsman,India,50 L, vaibhav_suryavanshi.avif
Vaibhav Arora,Uncapped Bowler,Bowler,India,50 L, vaibhav_arora.avif
Vijaykumar Vyshak,Uncapped Bowler,Bowler,India,50 L, vyshak_vijaykumar.avif
Vipraj Nigam,Uncapped All-Rounder,All-rounder,India,50 L, Vipraj_Niga.avif
Xavier Bartlett,Uncapped Bowler,Batsman,Australia,50 L, xavier_bartlett.avif
Yash Thakur,Uncapped Bowler,Bowler,India,50 L, yash_thakur.avif
Zeeshan Ansari,Uncapped Bowler,Batsman,India,50 L, zeeshan_ansari.avif
